mu,P_mui0,P_mui1,P_mui2,beta2,P_epsilon,P_kappa,P_gamma0,P_gamma1,P_gamma2,P_nu,cdr_b,P_h,P_j,Equi_incidence
0.015408661,0.068282009,0.070901548,0.346376596,43.66474564,0.088627167,0.675614485,0.572390062,0.577164877,0.230661494,0.036973501,0.681908719,0.017972223,0.038581412,180.2865354
0.016294084,0.068094892,0.067649215,0.52167108,45.90528616,0.097969106,0.607802949,0.586375396,0.574076298,0.288793735,0.03968536,0.615147661,0.02599066,0.043211952,246.4610236
0.014591373,0.064669934,0.074633053,0.386725873,35.82486797,0.108746418,0.632208588,0.562625523,0.568870357,0.28863862,0.053218367,0.721745848,0.034483014,0.023168142,216.5494981
0.016080233,0.063612203,0.070448213,0.441095213,53.89114955,0.110003649,0.642757613,0.576438532,0.584383252,0.270984881,0.056813903,0.644791951,0.035257363,0.041698264,425.0318077
0.015996852,0.068607059,0.080921916,0.400234298,43.40186031,0.093314476,0.678789102,0.565364031,0.576737917,0.403698563,0.064895528,0.586805853,0.030092832,0.037218234,351.2928311
0.016753915,0.070089978,0.076559708,0.369913362,51.62927297,0.099255075,0.592030943,0.569417101,0.57227682,0.38272508,0.042568075,0.624332888,0.037422079,0.039335804,336.0529181
0.015412951,0.069275609,0.073422489,0.434559891,51.68805431,0.093842777,0.645000212,0.574212716,0.572529006,0.333747985,0.037957832,0.558947103,0.009082129,0.035775326,278.1335702
0.01506767,0.072517741,0.067433242,0.452867316,37.3644721,0.113237406,0.671123251,0.558484162,0.565542876,0.337592059,0.032019651,0.709311985,0.045918367,0.020935569,74.46650023
0.015009165,0.077190006,0.068856594,0.517422736,49.80065004,0.100395267,0.615333899,0.570784474,0.573436645,0.381841676,0.048104639,0.724332999,0.020030167,0.029057745,209.2044817
0.014602223,0.05821833,0.076446878,0.403137267,51.27312485,0.086583831,0.602260905,0.567210114,0.582531283,0.206361373,0.059872656,0.683179336,0.039399494,0.015483367,385.2606817
0.016205397,0.068252652,0.061488056,0.412370511,53.01523677,0.112974159,0.643006948,0.567736103,0.583453456,0.264069458,0.035043457,0.59940894,0.038933921,0.049428473,332.9607681
0.015155567,0.060041287,0.059759308,0.450633739,50.45665254,0.090421962,0.6753389,0.570183166,0.575969926,0.375739729,0.058733668,0.664532875,0.018319339,0.019675521,294.1110253
0.016595431,0.077317198,0.059853791,0.368005026,49.01739376,0.085054589,0.660453195,0.562325308,0.557708158,0.342014943,0.045471451,0.68175738,0.017046351,0.048536877,222.6652042
0.016374545,0.075528912,0.082008346,0.433829121,44.71264876,0.088401949,0.599766662,0.573975669,0.5725402,0.268734019,0.045740804,0.677255419,0.024300551,0.044961523,239.3556385
0.01638529,0.06889814,0.062549114,0.388523511,39.83291534,0.111662561,0.596787585,0.576201066,0.566024644,0.250706233,0.062510575,0.731981748,0.022081586,0.018217126,332.0508882
0.015168316,0.075321838,0.077374272,0.383810653,36.55856066,0.097696694,0.600084728,0.584114897,0.571297664,0.322093703,0.058431352,0.617204396,0.0288527,0.037746304,335.4291613
0.015886726,0.074323518,0.059150795,0.395456776,49.35493878,0.102987381,0.624750371,0.558980757,0.586128805,0.373064194,0.057359412,0.657323446,0.043489439,0.039085565,366.431969
0.015796045,0.061847768,0.06922109,0.481011622,37.38308401,0.080794959,0.649747099,0.573589658,0.577871313,0.282673344,0.058114137,0.684470928,0.018619125,0.046423466,188.7553336
0.014430247,0.066852778,0.072348318,0.395145086,41.34823214,0.099538388,0.612135595,0.557758809,0.583547012,0.415791644,0.041975461,0.616518975,0.037167433,0.01455248,235.4991792
0.017740165,0.059244794,0.068718414,0.455862163,57.16392562,0.097506253,0.589050587,0.57446304,0.578234081,0.252495967,0.048044687,0.773725058,0.027922764,0.035167949,244.983802
0.015808431,0.065313354,0.086659144,0.43484453,41.30651786,0.090735861,0.595044905,0.579985437,0.581114034,0.374727142,0.046462804,0.57972107,0.038701898,0.021246002,272.1972554
0.015793921,0.06516559,0.070820316,0.468353969,52.48684113,0.114627802,0.634317684,0.577310408,0.570416764,0.297278021,0.034540935,0.723280073,0.033913172,0.025015626,200.0722888
0.01739535,0.070998096,0.057992191,0.419332644,54.833717,0.096174184,0.677079608,0.562515765,0.564514338,0.316182524,0.039944878,0.712130239,0.010104421,0.021208495,195.7466222
0.015249024,0.076439862,0.07100235,0.437953259,43.53884246,0.114099715,0.679326158,0.562915119,0.571653973,0.294819575,0.039007605,0.608800246,0.047338805,0.046291754,250.9881695
0.015325669,0.052820797,0.074173013,0.31002796,43.19434006,0.100246066,0.614546918,0.567889723,0.567525065,0.305293116,0.06354907,0.7079875,0.02007789,0.048272502,369.8427652
0.015462668,0.083698244,0.065846096,0.443888801,48.79814583,0.102368915,0.590193936,0.560600598,0.576087068,0.342819529,0.047141384,0.593487438,0.011401287,0.014913826,365.0663074
0.016787616,0.072408868,0.059633246,0.461864338,41.61046224,0.099204572,0.649607523,0.564020357,0.583317583,0.261369283,0.031756688,0.726826445,0.030525802,0.018512389,73.21622898
